Name,Title,Description,Cost,EntryCost,MOD,RO,RP-0,CATEGORY,INFO,Year,Tech,ERA,ORPHAN,RP0conf,SPACECRAFT,ENGINE CONFIG,UPGRADE,ECM'S,IdentPart,Avionics,DecreaseA,DecreaseB,EngineLiquidPF,EngineLiquidTurbo,EngineSolid,Habitable,HumanRated,Instruments,Nuclear,"""Reentry""","""Toxic""",Decoupler,Hydrolox,TankBalloon,TankServiceModule,NonReentryRated,UnpressurizedCockpit
aje_avon,Avon RB-146 Mk.302 Turbojet,"The Avon was Rolls-Royce's first axial-flow turbojet, introduced in 1950. The RB.146, an early 1960s model, was the ultimate military Avon, an afterburning turbojet powering the English Electric Lightning F.6. 72.77kN wet, 56.45kN dry. SFC 0.85/1.85 lb/lbf-hr static. Temperature limit Mach 2.4.",140,2800,Advanced Jet Engines,Yes,Yes,FLIGHT,Engine,1964,advancedJetEngines,04-ADV,,true,English Electric Lightning,,,,,,,,,,,,,,,,,,,,,,
aje_atar,Atar 9K-50 Turbojet,"Early 1970s afterburning turbojet, used on the Mirage 5S, Mirage 50, Mirage IV-A/P/R, and Mirage F1C. Comparitively low overall pressure ratio (6.2) leads to high fuel consumption but good high-speed performance. 70.6kN wet, 49.18kN dry. SFC 0.98/1.99 lb/lbf-hr static. Temperature limit Mach 2.8.",220,4400,Advanced Jet Engines,Yes,Yes,FLIGHT,Engine,1966,advancedJetEngines,04-ADV,,true,"Mirage 5S, Mirage 50, Mirage IV-A/P/R, Mirage F1C",,,,,,,,,,,,,,,,,,,,,,
aje_j75,J75-P-17 Turbojet,"Essentially a larger J57, the P&W J75 saw extensive military and civilian use. This afterburning variant powered the F-106 A/B. 109.0kN wet, 76.5kN dry. SFC 0.8/2.15 lb/lbf-hr static. Temperature limit Mach 2.5.",223,4470,Advanced Jet Engines,Yes,Yes,FLIGHT,Engine,1959,highSpeedFlight,02-SAT,,true,F-106,,,,,,,,,,,,,,,,,,,,,,
aje_solarPanels,ST4 Solar Panel,Static Level 3 solar panel 5m^2.,400,10000,Advanced Jet Engines,Yes,Yes,POWER,Solar,1963,basicPower,03-HUMAN,,true,,,,"500, solarLevel3",,,,,,,,,,,,,,,,,,,
aje_f404,F404-GE-402 Turbofan,"General Electric F404-GE-402 low-bypass turbofan with afterburner as used on F/A-18C/D. 78.7kN wet, 53.16kN dry. SFC 0.82/1.74 lb/lbf-hr static. Temperature limit Mach 2.85.",600,12000,Advanced Jet Engines,Yes,Yes,FLIGHT,Engine,1994,refinedTurbofans,08-LONGTERM,,true,F/A-18,,,,,,,,,,,,,,,,,,,,,,
aje_j57,J57-P-21 Turbojet,"Late 50s turbojet. The J57 was a workhorse, designed in the early 1950s and powering the B-52, most of the Century Series fighters, and even the U-2. This represents a later model, the -21, which powered the F-100C/D/F. 75.4kN wet, 45.4kN dry. SFC 0.77/2.1 lb/lbf-hr static. Temperature limit Mach 1.9.",130,2600,Advanced Jet Engines,Yes,Yes,FLIGHT,Engine,1956,matureSupersonic,02-SAT,,true,F-100,,,,,,,,,,,,,,,,,,,,,,
aje_al31,AL-31FM turbofan,"Modern afterburning turbofan used on the Su-27M, Su-30, and Su-34 featuring vector thrust.  122.4 kN wet, 76.2 kN dry, SFC 0.75/1.92 lb/lb hr. Max 2.5 Mach.",450,9000,Advanced Jet Engines,Yes,Yes,FLIGHT,Engine,2007,scramjetEngines,09-INTL,,true,"Su-27M, Su-30, Su-34",,,,,,,,,,,,,,,,,,,,,,
aje_ramjet,CR2 Ramjet,A fictional CR2 Ramjet. Works best when faster than Mach 2. This engine provides no thrust below Mach 0.3!,350,7000,Advanced Jet Engines,Yes,Yes,SPACEPLANES,Engine,1964,hypersonicFlightRP0,04-ADV,,true,,,,,,,,,,,,,,,,,,,,,,,
aje_j79,J79-GE-17 Turbojet,"The first US ""Mach 2"" engine, the J79 saw extensive service, powering the B-58 Hustler and the F-4 Phantom and F-104 Starfighter among others. This mid-1960s model powered the USAF F-4E and G, and with minor mounting differences (as the -19) the final development of the Starfighter line, the F-104S.79.63kN wet, 52.8kN dry. SFC 0.84/1.97 lb/lbf-hr static. Temperature limit Mach 2.6.",220,4400,Advanced Jet Engines,Yes,Yes,FLIGHT,Engine,1964,advancedJetEngines,04-ADV,,true,F-4E,,,,,,,,,,,,,,,,,,,,,,
solarpaneles1,AIES ES-1B Solar Panel,"A little over two times bigger than the ST1 plus the latest state of the art technology, the ES1B gives the user that much more capability. 0.455m^2.",100,16000,AIES,Yes,Yes,POWER,Solar,1961,earlyPower,03-HUMAN,,true,,,,,,,,,,,,,,,,,,,,,,,
