Name,Title,Cost,EntryCost,Description,MOD,RO,RP-0,CATEGORY,INFO,TECHNOLOGY,YEAR,ERA,ORPHAN,RP0conf,SPACECRAFT,ENGINE CONFIG,UPGRADE,SAME,PLACEMENT NOTES,COST NOTES,DATE COSTED,ECM'S,IDENTICAL,Avion,DecA,DecB,EngLqdPF,EngLqdTurb,EngSolid,Haibt,Human,Instrum,Nuke,Reentry,Toxic,Decoup,Hydro,Balloon,SM,NonReentry,Unpress,Tank Type,Diameter,Length
0625_Heatshield,Heatshield (0.625m),300,18000,LEO-rated heat shield. Not rated for lunar returns.,Deadly Reentry,Yes,Yes,EDL,Heat Shield,entryDescentLanding,1959,02-SAT,,true,,,,,,,,heatshieldsLEO,,,,,,,,,,,,X,,,,,,,,,,
1.25_Heatshield,Heatshield (1.25m),600,20000,LEO-rated heat shield. Not rated for lunar returns.,Deadly Reentry,Yes,Yes,EDL,Heat Shield,entryDescentLanding,1959,02-SAT,,true,,,,,,,,heatshieldsLEO,,,,,,,,,,,,X,,,,,,,,,,
11D33,11D33,5,1000,Developed version of S1.5400 engine for Block L stage of Molniya launch vehicle. Slightly better performance.,Engine_Config,Yes,,STAGED,,stagedCombustion1964,1964,04-ADV,,,Molniya,RD58,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,
11D33M,11D33M,10,2000,"The S1.5400A engine, as used on Block ML on the Molniya M launch vehicle. Further performance improvements to the basic S1.5400/11D33 engine.",Engine_Config,Yes,,STAGED,,stagedCombustion1966,1966,04-ADV,,,Molniya-M,RD58,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,
17D12,17D12,200,20000,,Engine_Config,Yes,Yes,STAGED,,stagedCombustion1981,1981,07-SPCPLANES,,true,Buran,RD58,YES,,,,,,,,,,,X,,,,,,,,,,,,,,,,
1x3SPanels,OX-2L 1x3 Photovoltaic Panels,200,4000,Extendable sun-tracking Level 3 solar panel. 0.63m^2.,Stock (RO Config),Yes,Yes,POWER,Solar,improvedPower,1964,04-ADV,,true,Level 3,,,,Level 3 - Tracking,,,"500, solarLevel3, solarFolding, solarTracking",,,,,,,,,,,,,,,,,,,,,,
1x3WPanels,OX-4M 2x3 Photovoltaic Panels,450,9000,Extendable sun-tracking Level 3 solar panel. 2.28m^2.,Stock (RO Config),Yes,Yes,POWER,Solar,improvedPower,1964,04-ADV,,true,Level 3,,,,Level 3 - Tracking,,,"2000, solarLevel3, solarFolding, solarTracking",,,,,,,,,,,,,,,,,,,,,,
2_5mAdapter,CST-100 Atlas V Adapter,500,1000,A structural adapter to connect the service module of the CST-100 to the Atlas V launch vehicles.,CST-100 Starliner,Yes,No,MATERIALS,Adapter,materialsScienceNF,2020,11-NF,,false,CST-100 Starliner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5_Heatshield,Heatshield (4m) - Mk 1-2 Pod,800,21000,LEO-rated heat shield for Mk1-2 and other 4m pods. Not rated for lunar returns.,Deadly Reentry,Yes,Yes,EDL,Heat Shield,earlyLanding,1964,04-ADV,,true,,,,,,,,heatshieldsLEO,,,,,,,,,,,,X,,,,,,,,,,
25mKossak,Boeing 737 cockpit,1575,31500,"Cockpit for the Boeing 737- short-to medium range twinjet airliner. First flight: April 9, 1967.",SXT,Yes,Yes,FLIGHT,Cockpit,advancedJetEngines,1967,05-LUNAR,,true,Boeing 737,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,
